Census_Year,County,Male,Female,Total
2016,Carlow,28465,28467,56932
2016,Dublin,658371,688988,1347359
2016,Kildare,110546,111958,222504
2016,Kilkenny,49533,49699,99232
2016,Laois,42811,41886,84697
2016,Longford,20587,20286,40873
2016,Louth,63633,65251,128884
2016,Meath,96776,98268,195044
2016,Offaly,38838,39123,77961
2016,Westmeath,44082,44688,88770
2016,Wexford,73722,76000,149722
2016,Wicklow,70156,72269,142425
2016,Clare,58785,60032,118817
2016,Cork,268675,274193,542868
2016,Kerry,73055,74652,147707
2016,Limerick,97340,97559,194899
2016,Tipperary,79668,79885,159553
2016,Waterford,57651,58525,116176
2016,Galway,127663,130395,258058
2016,Leitrim,16064,15980,32044
2016,Mayo,65047,65460,130507
2016,Roscommon,32377,32167,64544
2016,Sligo,32365,33170,65535
2016,Cavan,38330,37846,76176
2016,Donegal,79022,80170,159192
2016,Monaghan,30866,30520,61386
